iter	Passed	Remaining
0	14	5960
1	28	5651
2	41	5469
3	54	5421
4	68	5398
5	81	5337
6	94	5298
7	107	5265
8	120	5250
9	133	5216
10	146	5196
11	160	5184
12	174	5208
13	189	5220
14	203	5230
15	217	5230
16	232	5245
17	247	5255
18	261	5238
19	274	5216
20	287	5188
21	300	5165
22	314	5152
23	327	5136
24	341	5121
25	355	5117
26	369	5098
27	382	5077
28	395	5055
29	408	5038
30	421	5021
31	434	5001
32	449	4996
33	463	4985
34	476	4964
35	489	4945
36	502	4926
37	515	4908
38	528	4894
39	542	4879
40	555	4861
41	568	4847
42	581	4830
43	594	4811
44	607	4795
45	620	4777
46	633	4759
47	646	4741
48	660	4731
49	674	4720
50	688	4711
51	702	4702
52	716	4690
53	729	4675
54	742	4659
55	755	4643
56	769	4630
57	783	4619
58	796	4601
59	809	4587
60	822	4571
61	835	4555
62	848	4539
63	861	4524
64	874	4509
65	889	4500
66	902	4485
67	915	4471
68	930	4462
69	943	4446
70	957	4435
71	970	4421
72	983	4406
73	996	4391
74	1009	4376
75	1023	4362
76	1036	4348
77	1049	4334
78	1062	4317
79	1075	4301
80	1088	4287
81	1101	4272
82	1115	4260
83	1128	4245
84	1141	4230
85	1153	4212
86	1167	4200
87	1181	4189
88	1196	4179
89	1209	4166
90	1225	4159
91	1240	4151
92	1253	4136
93	1266	4123
94	1280	4110
95	1293	4096
96	1306	4080
97	1320	4069
98	1335	4059
99	1349	4047
100	1363	4036
101	1378	4027
102	1392	4014
103	1406	4003
104	1420	3991
105	1435	3982
106	1451	3975
107	1468	3971
108	1486	3968
109	1500	3956
110	1515	3945
111	1529	3932
112	1544	3921
113	1558	3909
114	1572	3896
115	1585	3882
116	1598	3867
117	1612	3853
118	1625	3838
119	1638	3822
120	1651	3807
121	1664	3793
122	1679	3782
123	1694	3772
124	1710	3763
125	1724	3749
126	1737	3734
127	1751	3721
128	1765	3708
129	1778	3693
130	1791	3678
131	1804	3663
132	1817	3648
133	1830	3633
134	1843	3618
135	1856	3604
136	1869	3588
137	1882	3574
138	1896	3561
139	1910	3548
140	1923	3533
141	1937	3520
142	1950	3505
143	1963	3490
144	1977	3476
145	1990	3462
146	2004	3450
147	2018	3436
148	2031	3421
149	2044	3407
150	2057	3392
151	2070	3378
152	2083	3363
153	2096	3349
154	2110	3335
155	2123	3320
156	2136	3306
157	2150	3293
